,Course_Name,Company,Degree,Score,Reviews,Skills,Level/Cert/Time,IsFree,Course_Url
839,Introduction to PyMC3 for Bayesian Modeling and Inference,Databricks,,3.9,(20 reviews),"General Statistics, Python Programming",Beginner / Course / 3 - 6 Months,,https://www.coursera.org/learn/introduction-to-pymc3
840,Capstone Project: Advanced AI for Drug Discovery,LearnQuest,,1.9,(13 reviews),"Machine Learning Algorithms, Dimensionality Reduction, Machine Learning",Intermediate / Course / 3 - 6 Months,,https://www.coursera.org/learn/ai-for-drug-discovery
841,Machine Learning Models in Science,LearnQuest,,3.8,(10 reviews),"Machine Learning, Python Programming",Intermediate / Course / 3 - 6 Months,,https://www.coursera.org/learn/machine-learning-models-in-science
842,Neural Networks and Random Forests,LearnQuest,,2.9,(12 reviews),,Intermediate / Course / 3 - 6 Months,,https://www.coursera.org/learn/neural-networks-random-forests
843,Combining and Analyzing Complex Data,"University of Maryland, College Park",,4.1,(58 reviews),Stata,Mixed / Course / 3 - 6 Months,,https://www.coursera.org/learn/data-collection-analytics-project
844,Databricks to Local LLMs,Duke University,,,,"Data Science, Machine Learning",Beginner / Course / 3 - 6 Months,,https://www.coursera.org/learn/databricks-to-local-llms
845,Mathematical Biostatistics Boot Camp 2,Johns Hopkins University,,4.3,(129 reviews),"General Statistics, Probability & Statistics, Statistical Tests, Mathematics, Statistical Analysis, Biostatistics",Mixed / Course / 3 - 6 Months,,https://www.coursera.org/learn/biostatistics-2
846,Python for Data Science,Fractal Analytics,,3.9,(31 reviews),"Data Analysis, Exploratory Data Analysis, Feature Engineering",Beginner / Course / 3 - 6 Months,,https://www.coursera.org/learn/python-data-science
847,Business Applications of Hypothesis Testing and Confidence Interval Estimation,Rice University,,4.8,(1.3K reviews),"Business Analysis, Data Analysis, General Statistics, Probability & Statistics, Statistical Analysis, Statistical Tests, Basic Descriptive Statistics, Critical Thinking, Probability Distribution, Problem Solving",Mixed / Course / 3 - 6 Months,,https://www.coursera.org/learn/hypothesis-testing-confidence-intervals
848,Tesla Stock Price Prediction using Facebook Prophet,Coursera Project Network,,4.4,(110 reviews),"Data Analysis, Data Visualization, Machine Learning",Beginner / Guided Project / Less Than 2 Hours,,https://www.coursera.org/projects/tesla-stock-price-prediction-facebook-prophet
849,Explainable deep learning models for healthcare - CDSS 3,University of Glasgow,,4.8,(6 reviews),,Intermediate / Course / 3 - 6 Months,,https://www.coursera.org/learn/cdss3
850,Computer Simulations,"University of California, Davis",,4.5,(79 reviews),Theoretical Computer Science,Beginner / Course / 3 - 6 Months,,https://www.coursera.org/learn/computer-simulations
851,"Random Models, Nested and Split-plot Designs",Arizona State University,,4.6,(30 reviews),"Probability & Statistics, Experiment, Statistical Analysis, General Statistics, Statistical Tests",Intermediate / Course / 3 - 6 Months,,https://www.coursera.org/learn/random-models-nested-split-plot-designs
852,Explore and Create Reports with Data Studio,Google Cloud,,4.3,(15 reviews),,Beginner / Project / Less Than 2 Hours,,https://www.coursera.org/projects/googlecloud-explore-and-create-reports-with-data-studio-owwup
853,Deep Learning with PyTorch : Image Segmentation,Coursera Project Network,,4.4,(161 reviews),Python Programming,Intermediate / Guided Project / Less Than 2 Hours,,https://www.coursera.org/projects/deep-learning-with-pytorch-image-segmentation
854,Predict Career Longevity for NBA Rookies using Scikit-learn,Coursera Project Network,,,,"Data Science, Python Programming",Beginner / Guided Project / Less Than 2 Hours,,https://www.coursera.org/projects/predict-career-longevity
855,Integrating BigQuery ML with Dialogflow ES Chatbot,Google Cloud,,,,Machine Learning,Beginner / Project / Less Than 2 Hours,,https://www.coursera.org/projects/googlecloud-integrating-bigquery-ml-with-dialogflow-es-chatbot-ha8yo
856,Automated Machine Learning en Microsoft Power BI,Coursera Project Network,,4.2,(15 reviews),"Machine Learning, Power BI, Python Programming",Intermediate / Guided Project / Less Than 2 Hours,,https://www.coursera.org/projects/automated-machine-learning-powerbi
857,Importing Data into R,Coursera Project Network,,4.6,(17 reviews),"Databases, R Programming",Intermediate / Guided Project / Less Than 2 Hours,,https://www.coursera.org/projects/import-data-into-r
858,Calculating Descriptive Statistics in R,Coursera Project Network,,4.8,(49 reviews),"Data Analysis, General Statistics, R Programming, Data Science",Beginner / Guided Project / Less Than 2 Hours,,https://www.coursera.org/projects/calculating-descriptive-statistics-in-r
859,Principal Component Analysis with NumPy,Coursera Project Network,,4.6,(293 reviews),"Python Programming, Data Science",Intermediate / Guided Project / Less Than 2 Hours,,https://www.coursera.org/projects/principal-component-analysis-numpy
860,Getting Started in Google Analytics,Coursera Project Network,,4.4,(1.4K reviews),"Data Analysis, Marketing",Beginner / Guided Project / Less Than 2 Hours,,https://www.coursera.org/projects/getting-started-in-google-analytics
861,Fine Tune BERT for Text Classification with TensorFlow,Coursera Project Network,,4.6,(192 reviews),"Natural Language Processing, Tensorflow",Intermediate / Guided Project / Less Than 2 Hours,,https://www.coursera.org/projects/fine-tune-bert-tensorflow
862,Interpretable machine learning applications: Part 3,Coursera Project Network,,4.6,(12 reviews),,Intermediate / Guided Project / Less Than 2 Hours,,https://www.coursera.org/projects/interpretable-machine-learning-applications-part-3
863,"Where, Why, and How of Lambda Functions in Python",Coursera Project Network,,4.8,(19 reviews),"Python Programming, Exploratory Data Analysis",Beginner / Guided Project / Less Than 2 Hours,,https://www.coursera.org/projects/where-why-and-how-of-lambda-functions-in-python
