Kod wojewdztwa,Kod powiatu,Kod gminy,Wojewdztwo,Powiat,Gmina,Typ gminy,Nazwa formularza,Liczba podatnikw,Kwota przychodu                   w tys zotych,Kwota dochodu w tys zotych,Kwota dochodu do opodatkowania                  w tys zotych,Podatek naleny                  w tys zotych
2,5,42,DOLNOLSKIE,JAWORSKI,MCIWOJW,GW,PIT38,20,7525,110,110,21
2,5,42,DOLNOLSKIE,JAWORSKI,MCIWOJW,GW,PIT40A,489,9281,9281,9281,0
2,5,52,DOLNOLSKIE,JAWORSKI,PASZOWICE,GW,PIT28,178,24601,0,0,1459
2,5,52,DOLNOLSKIE,JAWORSKI,PASZOWICE,GW,PIT36,364,49459,16185,14485,765
2,5,52,DOLNOLSKIE,JAWORSKI,PASZOWICE,GW,PIT36L,35,118477,12498,12215,2321
2,5,52,DOLNOLSKIE,JAWORSKI,PASZOWICE,GW,PIT37,1784,85340,81246,71820,3236
2,5,52,DOLNOLSKIE,JAWORSKI,PASZOWICE,GW,PIT38,23,1156,25,23,4
2,5,52,DOLNOLSKIE,JAWORSKI,PASZOWICE,GW,PIT40A,428,8104,8104,8104,0
2,5,62,DOLNOLSKIE,JAWORSKI,WDROE WIELKIE,GW,PIT28,140,30443,0,0,1953
2,5,62,DOLNOLSKIE,JAWORSKI,WDROE WIELKIE,GW,PIT36,187,28666,7673,6975,339
2,5,62,DOLNOLSKIE,JAWORSKI,WDROE WIELKIE,GW,PIT36L,40,66680,10325,9994,1899
2,5,62,DOLNOLSKIE,JAWORSKI,WDROE WIELKIE,GW,PIT37,1799,82047,78168,68836,2993
2,5,62,DOLNOLSKIE,JAWORSKI,WDROE WIELKIE,GW,PIT38,12,445,22,22,4
2,5,62,DOLNOLSKIE,JAWORSKI,WDROE WIELKIE,GW,PIT40A,466,8667,8667,8667,0
2,6,11,DOLNOLSKIE,KARKONOSKI,KARPACZ,GM,PIT28,251,36388,0,0,2411
2,6,11,DOLNOLSKIE,KARKONOSKI,KARPACZ,GM,PIT36,450,74633,23650,21283,1322
2,6,11,DOLNOLSKIE,KARKONOSKI,KARPACZ,GM,PIT36L,124,213715,49995,48482,9209
2,6,11,DOLNOLSKIE,KARKONOSKI,KARPACZ,GM,PIT37,2209,91488,85794,77205,4034
2,6,11,DOLNOLSKIE,KARKONOSKI,KARPACZ,GM,PIT38,44,20212,615,123,23
2,6,11,DOLNOLSKIE,KARKONOSKI,KARPACZ,GM,PIT39,10,2160,1187,427,81
2,6,11,DOLNOLSKIE,KARKONOSKI,KARPACZ,GM,PIT40A,534,10829,10829,10829,0
2,6,21,DOLNOLSKIE,KARKONOSKI,KOWARY,GM,PIT28,433,45744,0,0,2950
2,6,21,DOLNOLSKIE,KARKONOSKI,KOWARY,GM,PIT36,540,89418,27754,24808,1581
2,6,21,DOLNOLSKIE,KARKONOSKI,KOWARY,GM,PIT36L,87,301710,42052,39889,7579
2,6,21,DOLNOLSKIE,KARKONOSKI,KOWARY,GM,PIT37,4577,207492,197902,178201,7993
2,6,21,DOLNOLSKIE,KARKONOSKI,KOWARY,GM,PIT38,51,24812,1103,1046,191
